WR,HR,DeltaHR,VE,BF,VO2rel,HRR,VO2
25,118,0,44734,22,21.91,49.52380952,1.90617
25,117,-1,44734,22,19.802,48.57142857,1.722774
25,117,0,44734,22,18.449,48.57142857,1.605063
25,116,-1,49861,22,19.77,47.61904762,1.71999
25,116,0,49861,23,20.714,47.61904762,1.802118
25,114,-2,48748,24,19.681,45.71428571,1.712247
25,114,0,48748,24,18.631,45.71428571,1.620897
25,114,0,45679,24,17.21,45.71428571,1.49727
25,113,-1,45679,24,15.788,44.76190476,1.373556
25,112,-1,45173,24,16.199,43.80952381,1.409313
25,111,-1,45173,25,17.254,42.85714286,1.501098
25,109,-2,45139,25,18.483,40.95238095,1.608021
25,109,0,45139,25,19.935,40.95238095,1.734345
25,108,-1,45139,25,20.259,40,1.762533
25,107,-1,39938,25,18.58,39.04761905,1.61646
25,106,-1,39938,26,17.101,38.0952381,1.487787
25,106,0,41145,26,16.67,38.0952381,1.45029
25,106,0,41145,27,16.239,38.0952381,1.412793
25,107,1,39877,27,15.677,39.04761905,1.363899
25,107,0,39877,27,15.1,39.04761905,1.3137
25,108,1,39877,27,15.138,40,1.317006
25,108,0,39573,27,15.899,40,1.383213
25,108,0,39573,27,16.521,40,1.437327
25,108,0,40005,27,15.886,40,1.382082
25,108,0,40005,26,15.251,40,1.326837
25,107,-1,40005,26,15.461,39.04761905,1.345107
25,107,0,40005,26,15.998,39.04761905,1.391826
25,107,0,40558,26,16.041,39.04761905,1.395567
25,106,-1,40558,26,15.401,38.0952381,1.339887
25,106,0,40558,26,14.954,38.0952381,1.300998
25,105,-1,40005,26,15.389,37.14285714,1.338843
25,105,0,40005,26,15.81,37.14285714,1.37547
25,104,-1,40977,26,15.544,36.19047619,1.352328
25,104,0,40977,26,15.278,36.19047619,1.329186
25,104,0,40977,25,14.857,36.19047619,1.292559
25,103,-1,40633,25,13.729,35.23809524,1.194423
25,103,0,40633,25,12.601,35.23809524,1.096287
25,104,1,39850,25,10.848,36.19047619,0.943776
25,103,-1,39850,25,8.9374,35.23809524,0.7775538
25,104,1,39850,25,8.3976,36.19047619,0.7305912
25,103,-1,37624,25,10.294,35.23809524,0.895578
25,102,-1,37624,25,12.19,34.28571429,1.06053
25,101,-1,36767,25,12.313,33.33333333,1.071231
25,100,-1,36767,25,12.146,32.38095238,1.056702
25,99,-1,36767,25,11.899,31.42857143,1.035213
25,99,0,35155,25,11.521,31.42857143,1.002327
25,99,0,35155,24,11.144,31.42857143,0.969528
