WR,HR,DeltaHR,VE,BF,VO2rel,HRR,VO2
130,107,2,30045,29,18.94,37.69230769,1.280344
130,109,2,30325,30,20.088,39.23076923,1.3579488
130,110,1,30325,30,19.736,40,1.3341536
130,111,1,32122,30,19.383,40.76923077,1.3102908
130,112,1,32122,30,19.869,41.53846154,1.3431444
130,113,1,32112,31,20.65,42.30769231,1.39594
130,114,1,32112,31,19.616,43.07692308,1.3260416
130,115,1,32269,31,18.287,43.84615385,1.2362012
130,116,1,32269,31,17.963,44.61538462,1.2142988
130,117,1,33138,31,17.702,45.38461538,1.1966552
130,117,0,33138,31,17.41,45.38461538,1.176916
130,118,1,33943,31,17.193,46.15384615,1.1622468
130,118,0,33943,31,18.137,46.15384615,1.2260612
130,119,1,33609,30,19.081,46.92307692,1.2898756
130,119,0,33609,30,17.96,46.92307692,1.214096
130,120,1,33059,29,16.323,47.69230769,1.1034348
130,120,0,33059,29,17.264,47.69230769,1.1670464
130,121,1,33059,29,18.772,48.46153846,1.2689872
130,121,0,32696,29,19.541,48.46153846,1.3209716
130,121,0,32696,29,19.508,48.46153846,1.3187408
130,122,1,33604,29,19.599,49.23076923,1.3248924
130,122,0,33604,28,20.125,49.23076923,1.36045
130,123,1,33413,28,20.652,50,1.3960752
130,123,0,33413,27,19.922,50,1.3467272
130,123,0,32706,27,18.6,50,1.25736
130,124,1,32706,27,19.567,50.76923077,1.3227292
130,124,0,32171,28,20.907,50.76923077,1.4133132
130,124,0,32171,28,20.798,50.76923077,1.4059448
130,124,0,33329,28,20.653,50.76923077,1.3961428
130,124,0,33329,28,21.162,50.76923077,1.4305512
130,125,1,34620,29,21.734,51.53846154,1.4692184
130,125,0,34620,29,22.508,51.53846154,1.5215408
130,125,0,34115,29,23.036,51.53846154,1.5572336
130,126,1,33427,30,21.347,52.30769231,1.4430572
130,126,0,33427,30,20.194,52.30769231,1.3651144
130,126,0,33781,31,20.564,52.30769231,1.3901264
130,127,1,33781,32,20.252,53.07692308,1.3690352
130,127,0,34493,32,19.36,53.07692308,1.308736
130,127,0,34493,32,19.847,53.07692308,1.3416572
130,127,0,34218,32,20.723,53.07692308,1.4008748
130,128,1,34218,32,21.778,53.84615385,1.4721928
130,128,0,35082,32,22.796,53.84615385,1.5410096
130,128,0,35082,32,22.526,53.84615385,1.5227576
130,128,0,35082,32,22.257,53.84615385,1.5045732
130,128,0,33373,31,21.696,53.84615385,1.4666496
130,128,0,33373,31,21.023,53.84615385,1.4211548
130,129,1,33373,30,20.349,54.61538462,1.3755924
130,129,0,32936,29,19.678,54.61538462,1.3302328
130,129,0,32936,28,19.008,54.61538462,1.2849408
130,129,0,32936,27,18.339,54.61538462,1.2397164
130,129,0,31748,27,18.252,54.61538462,1.2338352
25,130,1,31748,26,19.403,55.38461538,1.3116428
25,130,0,31572,25,20.554,55.38461538,1.3894504
25,131,1,31572,25,20.807,56.15384615,1.4065532
25,131,0,31572,24,20.806,56.15384615,1.4064856
25,131,0,35362,24,21.103,56.15384615,1.4265628
25,130,-1,35362,24,21.655,55.38461538,1.463878
25,129,-1,35362,23,22.206,54.61538462,1.5011256
25,129,0,34601,23,22.758,54.61538462,1.5384408
25,128,-1,34601,22,22.56,53.84615385,1.525056
25,127,-1,34601,22,22.348,53.07692308,1.5107248
25,126,-1,32941,22,21.357,52.30769231,1.4437332
25,126,0,32941,22,20.094,52.30769231,1.3583544
25,125,-1,34345,21,19.363,51.53846154,1.3089388
25,125,0,34345,21,20.515,51.53846154,1.386814
25,124,-1,34345,21,21.668,50.76923077,1.4647568
25,123,-1,35725,21,22.835,50,1.543646
25,122,-1,35725,22,24.068,49.23076923,1.6269968
25,121,-1,36829,22,25.302,48.46153846,1.7104152
25,120,-1,36829,23,24.031,47.69230769,1.6244956
25,118,-2,37384,23,22.698,46.15384615,1.5343848
25,116,-2,37384,23,21.841,44.61538462,1.4764516
25,115,-1,32990,24,20.984,43.84615385,1.4185184
