Time,WR,HR,VE,BF,VO2rel,HRR,VO2
408,95,106,23882.905,22,17.1801,30.70866142,1.3915881
409,95.41666667,106,23882.905,22,16.6696,30.70866142,1.3502376
410,95.83333333,106,23882.905,22,15.4084,30.70866142,1.2480804
411,96.25,106,23653.9,22,14.1473,30.70866142,1.1459313
412,96.66666667,107,23653.9,22,14.8734,31.49606299,1.2047454
413,97.08333333,107,23544.85,22,15.9231,31.49606299,1.2897711
414,97.5,108,23544.85,22,16.847,32.28346457,1.364607
415,97.91666667,108,23544.85,22,16.8495,32.28346457,1.3648095
416,98.33333333,108,24122.815,22,16.852,32.28346457,1.365012
417,98.75,108,24122.815,22,16.8498,32.28346457,1.3648338
418,99.16666667,107,24122.815,22,16.8402,31.49606299,1.3640562
419,99.58333333,107,23904.715,22,16.8306,31.49606299,1.3632786
420,100,107,23904.715,22,15.6241,31.49606299,1.2655521
421,100.4166667,107,22770.595,22,13.6842,31.49606299,1.1084202
422,100.8333333,107,22770.595,22,12.1324,31.49606299,0.9827244
423,101.25,108,22770.595,22,15.044,32.28346457,1.218564
424,101.6666667,108,22639.735,23,17.9556,32.28346457,1.4544036
425,102.0833333,109,22639.735,23,18.0144,33.07086614,1.4591664
426,102.5,110,26445.58,23,16.9637,33.85826772,1.3740597
427,102.9166667,110,26445.58,23,16.2549,33.85826772,1.3166469
428,103.3333333,110,26445.58,23,16.913,33.85826772,1.369953
429,103.75,110,26249.29,23,17.5712,33.85826772,1.4232672
430,104.1666667,109,26249.29,23,17.5134,33.07086614,1.4185854
431,104.5833333,108,28168.57,23,15.4179,32.28346457,1.2488499
432,105,107,28168.57,23,13.4516,31.49606299,1.0895796
433,105.4166667,107,28168.57,23,12.9719,31.49606299,1.0507239
434,105.8333333,107,29498.98,23,12.4923,31.49606299,1.0118763
435,106.25,107,29498.98,23,13.807,31.49606299,1.118367
436,106.6666667,108,29967.895,23,16.4212,32.28346457,1.3301172
437,107.0833333,109,29967.895,23,19.0354,33.07086614,1.5418674
438,107.5,111,29967.895,23,18.429,34.64566929,1.492749
439,107.9166667,112,32999.485,23,17.2983,35.43307087,1.4011623
440,108.3333333,113,32999.485,23,16.4892,36.22047244,1.3356252
441,108.75,114,32999.485,23,16.699,37.00787402,1.352619
442,109.1666667,115,33446.59,23,16.9088,37.79527559,1.3696128
443,109.5833333,115,33446.59,23,16.8257,37.79527559,1.3628817
444,110,115,33446.59,23,16.4722,37.79527559,1.3342482
445,110.4166667,114,31396.45,23,16.1187,37.00787402,1.3056147
446,110.8333333,114,31396.45,23,16.7538,37.00787402,1.3570578
447,111.25,114,31396.45,22,17.5772,37.00787402,1.4237532
448,111.6666667,114,34046.365,22,18.4006,37.00787402,1.4904486
449,112.0833333,114,34046.365,22,18.5125,37.00787402,1.4995125
450,112.5,114,34046.365,22,18.3997,37.00787402,1.4903757
